PID,wslong,wslat,wsplace
11066, 116.2360984, 40.19778993, School 2483
20568, 116.269611, 39.917743, School 2433
14761, 116.505564, 40.200047, School 2215
14893, 116.560483, 39.871563, School 2439
11717, 116.284123, 40.094823, School 2417
14034, 116.405677, 40.050626, School 2407
3944, 116.369454, 40.220416, School 2424
18431, 116.819042, 39.819042, School 2401
2635, 117.1967164, 40.19544789, School 2484
1486, 116.310584, 39.717486, School 2434
19587, 116.258201, 39.873238, School 2155
9236, 116.465838, 39.968655, School 2426
8455, 116.4903054, 39.7348966, School 2485
10067, 116.228242, 39.805143, School 2191
14076, 116.209593, 40.036417, School 2132
644, 116.565945, 39.737439, School 2287
10418, 116.329813, 39.792398, School 2159
1472, 116.450989, 39.872134, School 2381
9392, 116.443402, 39.968171, School 2196
9338, 116.194171, 39.811415, School 2382
4915, 116.475251, 39.835216, School 2384
8140, 116.680806, 39.931848, School 2349
5395, 116.374651, 39.747981, School 2398
15236, 116.273822, 39.765098, School 2449
17060, 115.915969, 39.68819, School 2403
2725, 116.436005, 39.87512, School 2294
4957, 116.312806, 39.912668, School 2447
941, 116.263358, 40.022939, School 1982
21225, 116.417272, 39.965598, School 2218
9783, 116.505564, 40.200047, School 2215
3199, 116.147128, 40.202708, School 2232
2497, 116.493312, 39.888556, School 2427
10394, 116.496631, 39.662474, School 2004
3914, 116.371632, 39.648622, School 2445
3034, 116.573671, 40.120745, School 2262
14609, 116.181977, 39.798864, School 2172
11797, 116.025979, 39.86492, School 2129
9518, 116.295312, 39.88961, School 2345
8701, 116.308566, 40.05529, School 2416
604, 116.57605, 39.910296, School 2437
7717, 116.346202, 39.850193, School 2270
19605, 116.4903054, 39.7348966, School 2485
21123, 116.405677, 40.050626, School 2407
8842, 116.2360984, 40.19778993, School 2483
17168, 116.194171, 39.811415, School 2382
17150, 116.509426, 40.121733, School 2414
15131, 116.413017, 40.078959, School 2193
3037, 116.4903054, 39.7348966, School 2485
2737, 116.517474, 40.016605, School 2393
8671, 116.313324, 40.275504, School 2366
14011, 116.297384, 39.696431, School 2418
20054, 116.4903054, 39.7348966, School 2485
9850, 116.266825, 40.07761, School 2377
18855, 116.328647, 39.860125, School 2408
4861, 116.187733, 39.961029, School 2308
18947, 116.514348, 39.828748, School 2429
15116, 116.241645, 39.893496, School 2388
16391, 116.425939, 39.828509, School 2383
11512, 116.284818, 39.730988, School 2303
7870, 116.756431, 39.674709, School 2371
8176, 116.226456, 40.033484, School 2237
3079, 116.245844, 40.035244, School 2415
20336, 116.517474, 40.016605, School 2393
9527, 116.297384, 39.696431, School 2418
8035, 116.35961, 39.947675, School 2177
21249, 116.513509, 39.895886, School 2192
3115, 116.3513, 39.965885, School 2367
19821, 116.025979, 39.86492, School 2129
5004, 116.139968, 40.029801, School 2319
14600, 116.426051, 39.950465, School 2390
14141, 116.636806, 39.984041, School 2440
5118, 116.22041, 39.966633, School 2128
4825, 116.493312, 39.888556, School 2427
16922, 116.228242, 39.805143, School 2191
16328, 116.073424, 39.804825, School 2200
3854, 116.777526, 40.061471, School 2443
9401, 116.400099, 40.039447, School 2452
1583, 116.440134, 39.975117, School 2423
1501, 116.507176, 40.032359, School 2088
1539, 116.371211, 39.994342, School 2428
9903, 116.330942, 39.956591, School 2422
12987, 116.59299, 40.316291, School 2226
4299, 116.337687, 39.905425, School 2220
7687, 116.425939, 39.828509, School 2383
19259, 116.2360984, 40.19778993, School 2483
12055, 116.4128467, 40.2306288, School 2489
12329, 116.330942, 39.956591, School 2422
3904, 115.998873, 39.724173, School 2419
9620, 116.337402, 40.01587, School 2238
16341, 116.796533, 39.802539, School 2450
4279, 116.284123, 40.094823, School 2417
14100, 116.2360984, 40.19778993, School 2483
8284, 116.040266, 39.941066, School 2307
8647, 116.275406, 40.019793, School 2394
19803, 116.517474, 40.016605, School 2393
12421, 116.484246, 39.912262, School 2063
17225, 116.547487, 39.860526, School 2152
1646, 116.242654, 40.000578, School 2406
12015, 116.312117, 40.143218, School 2376
8557, 116.389548, 39.631017, School 2183
10647, 116.322579, 40.031132, School 2245
3894, 116.266825, 40.07761, School 2377
14612, 116.245844, 40.035244, School 2415
14781, 116.796533, 39.802539, School 2450
15687, 116.327032, 39.764503, School 2207
19343, 116.450989, 39.872134, School 2381
1606, 116.421458, 39.826181, School 2399
14190, 116.152208, 39.766246, School 2413
16449, 116.281903, 39.785925, School 2311
11899, 116.152208, 39.766246, School 2413
19363, 116.615378, 40.017254, School 2205
50, 116.592369, 39.976381, School 2139
8584, 116.241645, 39.893496, School 2388
9023, 116.327032, 39.764503, School 2207
7642, 116.209593, 40.036417, School 2132
8812, 116.208245, 39.875518, School 2282
535, 116.245844, 40.035244, School 2415
20066, 116.587954, 39.911811, School 2380
19183, 116.421458, 39.826181, School 2399
8512, 116.216835, 39.889167, School 2295
47, 116.093242, 40.234843, School 2032
15071, 116.389548, 39.631017, School 2183
14281, 116.266825, 40.07761, School 2377
9572, 116.61018, 39.985131, School 2386
10115, 116.475693, 39.791452, School 2301
12707, 116.312806, 39.912668, School 2447
3834, 116.57605, 39.910296, School 2437
2572, 116.127122, 39.852226, School 2222
8791, 116.635916, 39.794896, School 2298
2581, 116.514348, 39.828748, School 2429
171, 117.1967164, 40.19544789, School 2484
1509, 116.343262, 39.819683, School 2397
4541, 116.551212, 39.819157, School 2101
14821, 116.245844, 40.035244, School 2415
12839, 116.819042, 39.819042, School 2401
9746, 116.429254, 39.996085, School 2253
11449, 116.330942, 39.956591, School 2422
14219, 116.284123, 40.094823, School 2417
4329, 116.61018, 39.985131, School 2386
9473, 116.596035, 39.929175, School 2244
4951, 116.30717, 39.804698, School 2023
14737, 116.434811, 39.928009, School 2167
14226, 116.310584, 39.717486, School 2434
3187, 116.152208, 39.766246, School 2413
11181, 116.593151, 39.956247, School 2212
18371, 116.052978, 39.688162, School 2391
2677, 117.1967164, 40.19544789, School 2484
11987, 116.505564, 40.200047, School 2215
710, 116.61018, 39.985131, School 2386
15112, 116.546325, 40.263072, School 2224
1052, 116.535394, 40.610496, School 2451
12381, 116.216835, 39.889167, School 2295
8089, 116.319913, 40.1265, School 2379
10474, 116.465396, 39.952816, School 1998
4119, 116.475251, 39.835216, School 2384
12129, 117.1967164, 40.19544789, School 2484
19311, 116.324105, 39.949082, School 2436
10606, 116.332981, 40.061771, School 2188
12783, 116.371529, 39.746452, School 2341
19977, 116.330942, 39.956591, School 2422
11837, 116.295312, 39.88961, School 2345
12853, 116.363244, 39.812548, School 2064
7624, 116.740965, 39.772814, School 2170
