OID_1,Capacity,lat,long,Price
772,1,22.62642335000,114.21906630000,1125234
775,1,22.74761867000,114.01892240000,1357824
780,1,22.79316594000,113.83077980000,593262
782,1,22.60903599000,113.92157970000,632037
783,1,22.72458386000,114.22934400000,923190
788,1,22.65385368000,114.14666650000,653352
789,1,22.56162924000,113.93235600000,1112991
792,1,22.62885294000,114.41073320000,1105290
798,1,22.67225250000,114.31443540000,1249053
800,1,22.71577031000,113.85423510000,1137390
805,1,22.46708487000,113.88813370000,882934
808,1,22.81262019000,113.86481790000,803592
814,1,22.64360625000,114.51052500000,967530
819,1,22.61657424000,114.39359440000,1243720
824,1,22.58680986000,113.86043720000,1143828
826,1,22.52268154000,114.02978670000,1129684
831,1,22.74636217000,114.21961550000,797939
832,1,22.74241702000,113.79471030000,726572
833,1,22.71557304000,114.23491500000,1267435
834,1,22.66584933000,114.00013850000,863496
836,1,22.68911745000,113.98878180000,1052905
839,1,22.69348336000,114.39437770000,1194900
841,1,22.65930324000,114.21079630000,752238
847,1,22.67033037000,113.90578430000,797800
849,1,22.61022790000,114.35118530000,673113
854,1,22.69406645000,114.35606220000,1181817
862,1,22.57845399000,114.25878060000,848232
866,1,22.57007701000,114.15752040000,877828
869,1,22.60198124000,114.16978360000,1181635
877,1,22.62520599000,114.05740090000,809150
879,1,22.76362671000,113.89656470000,894912
888,1,22.76430403000,114.30644800000,1333230
893,1,22.60167939000,113.83394150000,907642
895,1,22.66510718000,114.31385170000,565794
898,1,22.71257294000,113.77940050000,1069472
909,1,22.66358533000,114.12092470000,1141006
912,1,22.81957744000,113.86627130000,721160
913,1,22.74113540000,114.38701850000,571752
915,1,22.56061647000,114.12867800000,1241239
919,1,22.67360300000,114.05061930000,584736
920,1,22.55984134000,114.14603900000,1091304
926,1,22.68526033000,114.13194410000,967252
933,1,22.78518445000,113.88949900000,1131962
936,1,22.57010900000,113.94172950000,945525
938,1,22.58224165000,113.93329470000,852800
939,1,22.73201308000,113.90700470000,1222504
948,1,22.48906859000,114.54205420000,696739
949,1,22.70191000000,113.99380530000,503415
953,1,22.60521260000,114.30313370000,1051872
955,1,22.67519576000,113.98976320000,938898
957,1,22.73133707000,113.88258020000,1085518
961,1,22.57073075000,113.96719920000,1291248
962,1,22.64612288000,114.15045280000,1197999
965,1,22.59205114000,114.47211570000,649341
966,1,22.61636306000,114.09942530000,496080
969,1,22.58175217000,113.96474480000,1043776
976,1,22.69132248000,114.04614220000,1214772
977,1,22.71145938000,114.21580730000,871612
981,1,22.63328315000,113.84158740000,1173165
984,1,22.71366071000,113.79183960000,962136
986,1,22.72999684000,114.01893060000,1010922
990,1,22.61103131000,114.06139630000,811486
994,1,22.55927430000,114.08316770000,1198821
995,1,22.71452222000,114.25228280000,870096
998,1,22.67251880000,113.83197970000,1112397
20,3,22.59383270000,113.86916830000,1436476
23,3,22.74888894000,113.91853410000,608019
26,3,22.75979014000,114.36074310000,760896
28,3,22.71229903000,113.81228440000,846009
30,3,22.48753100000,113.90663910000,1122204
34,3,22.67241295000,114.00209810000,835692
54,3,22.59444856000,114.46727760000,506625
58,3,22.61736685000,113.92051070000,629208
86,3,22.70026312000,113.79044930000,663663
87,3,22.54944389000,113.99373530000,1118695
92,3,22.56507940000,113.97149880000,839477
97,3,22.67249660000,113.91198400000,845424
114,3,22.57001282000,114.16222810000,817560
122,3,22.59919761000,113.83993730000,1250214
125,3,22.55634191000,114.55804210000,1089330
126,3,22.59551516000,114.00462080000,656697
127,3,22.74479642000,114.04994150000,1026052
138,3,22.61880880000,114.40035520000,857090
160,3,22.66684820000,114.02999190000,452355
164,3,22.49474317000,114.57690040000,1153541
192,3,22.63241271000,114.41781880000,1301860
193,3,22.56157879000,113.92050920000,1115264
199,3,22.48814980000,114.53223020000,1473160
202,3,22.75135238000,114.28372400000,573390
213,3,22.82567476000,113.86425090000,1004640
225,3,22.74005973000,114.03139230000,664297
229,3,22.59605766000,114.50229220000,1227600
237,3,22.70628610000,114.26473510000,601128
245,3,22.58446880000,113.90856830000,557488
246,3,22.50518507000,113.93043530000,796872
265,3,22.61236295000,113.88012730000,830898
273,3,22.72072576000,113.79050010000,992124
279,3,22.57055094000,113.93510460000,1382949
284,3,22.61924410000,114.15180710000,1225419
289,3,22.74568305000,113.94610990000,904905
293,3,22.65588346000,113.90806370000,898768
296,3,22.76309512000,114.23849640000,1504480
303,3,22.67738457000,114.04478410000,781196
307,3,22.80211546000,113.89273510000,606407
318,3,22.65109646000,113.82352340000,1126182
320,3,22.73835999000,114.39830740000,802318
323,3,22.74840589000,113.88850230000,953036
332,3,22.67346065000,114.20719820000,1195138
334,3,22.74874071000,113.78712580000,875664
338,3,22.48126127000,114.52540900000,1168488
357,3,22.74041881000,114.35470670000,1164768
361,3,22.69252101000,114.25195710000,1342768
371,3,22.68207025000,113.79724730000,1116850
378,3,22.66960061000,114.01251060000,1202389
381,3,22.63400409000,113.98515350000,521100
389,3,22.80127313000,113.93488810000,898156
396,3,22.60592680000,113.86804640000,975494
403,3,22.58711497000,114.47955440000,514320
406,3,22.61054379000,113.83650170000,918240
414,3,22.60127310000,113.93274810000,1211760
416,3,22.49715906000,113.88014760000,964392
419,3,22.73630744000,113.92584420000,576726
424,3,22.55978304000,114.13469340000,1341879
425,3,22.81789539000,113.87417390000,890890
426,3,22.72310990000,113.85531010000,588768
428,3,22.69650582000,114.41280620000,1119024
430,3,22.57688309000,113.84495860000,750420
431,3,22.61881648000,113.97222970000,1099315
441,3,22.70280065000,113.88831700000,756000
449,3,22.59775455000,114.02686880000,1030816
451,3,22.71192628000,114.36136850000,1248034
