FID_,Capacity,Age,long,lat,Location
1723,4,7,114.10647630000,22.57334870000,94
1963,1,3,113.98120720000,22.68180991000,95
933,1,5,113.97947940000,22.68249685000,95
1805,1,5,114.06544810000,22.57084405000,96
807,1,6,114.06875320000,22.57321798000,96
1161,1,7,113.91198400000,22.67249660000,97
1932,1,3,113.94264830000,22.55304371000,98
815,1,5,113.94394820000,22.55746876000,98
312,1,6,113.93976940000,22.54918352000,98
474,7,5,113.90320640000,22.55898151000,99
1427,7,5,113.90117170000,22.55645119000,99
16,7,7,113.90286460000,22.55476595000,99
705,13,5,114.09783060000,22.69478757000,100
1388,1,5,113.85468870000,22.58178721000,101
754,1,6,113.85733170000,22.58130916000,101
1141,3,6,113.85860560000,22.58002312000,101
453,1,6,113.88703040000,22.73681777000,102
1310,7,6,113.88551450000,22.73781578000,102
701,4,6,113.94013410000,22.68797167000,103
1881,6,6,114.13081540000,22.58008543000,104
713,3,7,114.13205910000,22.58134904000,104
1014,6,8,114.13033140000,22.57858493000,104
1209,6,8,114.13375400000,22.57957269000,104
792,1,6,113.82981660000,22.67844841000,105
269,1,8,113.83361170000,22.67754269000,105
232,6,5,114.03214670000,22.60364925000,106
1266,12,5,114.03363290000,22.60408253000,106
778,1,6,114.03235810000,22.60729520000,106
1972,1,7,114.03371560000,22.60562211000,106
1287,1,7,114.02977310000,22.60806758000,106
468,1,4,114.06626710000,22.68601619000,107
1636,1,5,114.06373680000,22.68438374000,107
94,1,5,114.40597280000,22.74964726000,108
1140,4,4,114.07905090000,22.54727143000,109
140,9,5,114.08231450000,22.54348489000,109
667,15,5,114.08182510000,22.54871277000,109
278,4,6,114.08022400000,22.54685975000,109
1008,4,6,114.08376360000,22.54819292000,109
750,9,6,114.08007020000,22.54385604000,109
1498,9,6,114.08258240000,22.54612258000,109
1321,4,5,114.05876370000,22.53249916000,110
397,4,6,114.06004740000,22.53388018000,110
1656,1,7,114.48174000000,22.54079562000,111
313,1,10,114.47957640000,22.54169224000,111
555,7,6,113.90156150000,22.71955435000,112
1626,12,7,113.89979350000,22.72128716000,112
1729,6,4,114.04924510000,22.56662297000,113
1424,3,5,114.04842000000,22.56893833000,113
1999,3,5,114.05104680000,22.56560970000,113
680,6,6,114.04750540000,22.56695130000,113
141,15,6,114.05025680000,22.56561516000,113
652,1,7,114.04575470000,22.56905960000,113
994,3,7,114.04466860000,22.56551817000,113
1016,1,5,114.16222810000,22.57001282000,114
423,7,4,113.89274930000,22.76804691000,115
1598,7,5,113.89113780000,22.76756172000,115
1693,10,5,113.89188870000,22.76573048000,115
612,1,5,114.18476590000,22.59345697000,116
1921,1,10,114.18804640000,22.59135197000,116
961,1,8,114.34636560000,22.66952477000,117
62,1,6,114.30728880000,22.67023618000,118
1078,10,6,114.30682960000,22.66817747000,118
1933,12,6,114.30592390000,22.66792316000,118
703,9,7,113.88331880000,22.57999628000,119
1210,3,8,113.87891580000,22.57538388000,119
1042,6,8,113.88164160000,22.57854242000,119
851,1,4,114.39393620000,22.71435800000,120
199,1,6,114.38929840000,22.71245664000,120
1103,1,2,114.24723980000,22.74332592000,121
1392,1,1,113.83993730000,22.59919761000,122
797,1,6,114.07654780000,22.62515275000,123
995,1,6,114.08097090000,22.62592180000,123
412,6,6,114.28761460000,22.70174801000,124
841,6,6,114.29155660000,22.70035351000,124
431,1,3,114.55804210000,22.55634191000,125
1646,1,1,114.00462080000,22.59551516000,126
1081,1,11,114.04994150000,22.74479642000,127
357,4,5,113.91919770000,22.54583536000,128
1447,3,6,113.92210260000,22.54384542000,128
1028,7,8,114.24313270000,22.56455993000,129
101,1,7,113.88883490000,22.49267264000,130
1810,1,9,113.88954790000,22.48754985000,130
1526,3,6,113.85951500000,22.73057783000,131
1910,9,6,113.86180990000,22.73159364000,131
87,15,7,113.86085980000,22.73219420000,131
350,1,5,113.98059940000,22.70188376000,132
1169,4,7,113.98287190000,22.69973656000,132
1418,7,7,113.97961390000,22.70003514000,132
847,1,9,113.98658680000,22.69818982000,132
1757,1,2,114.16079520000,22.60197128000,133
1039,3,4,114.31229330000,22.69246974000,134
86,6,5,114.31612060000,22.69285344000,134
445,10,5,114.31447480000,22.69674758000,134
723,9,7,114.31355520000,22.69519170000,134
123,1,6,114.32915410000,22.76598871000,135
1666,1,6,114.32848500000,22.76890004000,135
953,1,6,114.32815870000,22.76530782000,135
1854,4,5,114.10206480000,22.59017166000,136
682,9,5,114.10138840000,22.58524801000,136
388,3,6,114.10282490000,22.58702735000,136
1102,6,6,114.10709320000,22.58802939000,136
892,9,7,114.10624820000,22.58564619000,136
1043,1,4,113.86329160000,22.78347339000,137
896,1,5,114.40035520000,22.61880880000,138
954,1,4,114.35382810000,22.68777839000,139
1679,3,4,114.10296010000,22.55553361000,140
120,6,6,114.10614410000,22.55557116000,140
640,7,6,114.10218740000,22.55328547000,140
787,1,7,114.10599520000,22.55112343000,140
669,3,4,114.04953290000,22.51773653000,141
1600,1,5,114.05168230000,22.51489064000,141
888,1,9,113.82625620000,22.78336177000,142
1635,1,9,113.94507280000,22.75703773000,143
1925,6,5,113.98744380000,22.53981860000,144
549,1,6,113.98491730000,22.53726635000,144
1446,6,6,113.98812910000,22.53883459000,144
935,7,6,113.98747860000,22.54172238000,144
678,10,6,113.98964120000,22.54079090000,144
80,6,7,113.98887810000,22.54061322000,144
440,1,8,113.91580690000,22.73178047000,145
1194,1,9,113.91929710000,22.72872912000,145
407,4,5,113.91399430000,22.52376910000,146
962,4,5,113.91601290000,22.52558440000,146
1367,4,5,113.91673560000,22.52797868000,146
1482,1,1,114.15282940000,22.65634810000,147
259,7,4,113.93215610000,22.78251295000,148
1601,4,5,113.93281630000,22.78546293000,148
490,10,6,114.27172630000,22.58856211000,149
198,1,6,113.91066410000,22.76447929000,150
699,1,6,113.89186650000,22.54628175000,151
1724,1,1,114.05930640000,22.72780458000,152
380,1,7,114.05922570000,22.72463660000,152
361,7,5,114.04881910000,22.60469621000,153
887,1,6,114.04278000000,22.60362263000,153
1540,7,6,114.04499570000,22.60195421000,153
1368,4,3,113.98113750000,22.55455443000,154
367,6,6,113.98098680000,22.55570979000,154
1541,3,6,114.36786120000,22.73955335000,155
1929,7,6,114.36861040000,22.74243864000,155
237,9,6,114.36586270000,22.74004757000,155
1581,7,7,114.36827070000,22.74212912000,155
898,1,5,114.33001580000,22.79799438000,156
467,1,9,114.22592480000,22.64134132000,157
420,1,0,114.21252840000,22.72475814000,158
1397,1,4,114.21038560000,22.72074274000,158
1682,1,4,113.93197800000,22.63047770000,159
830,4,6,113.93211170000,22.63250414000,159
1828,1,7,114.02999190000,22.66684820000,160
740,1,5,113.79822290000,22.69370504000,161
289,6,5,113.80332960000,22.69168323000,161
1489,9,5,113.80234580000,22.69650732000,161
401,12,5,113.80267970000,22.69642692000,161
1276,1,4,114.03050190000,22.62003586000,162
316,1,5,114.02750790000,22.62211321000,162
621,9,5,114.02548100000,22.62318237000,162
986,9,7,114.02534960000,22.61946934000,162
1660,3,6,114.26249860000,22.59287108000,163
1331,9,6,114.25953260000,22.59384673000,163
219,1,3,114.57690040000,22.49474317000,164
903,1,4,114.14168980000,22.68866649000,165
1727,1,4,114.14667830000,22.68836699000,165
784,3,5,114.04266710000,22.54364914000,166
1764,1,6,114.04717920000,22.54601967000,166
1945,4,6,113.95608250000,22.70340427000,167
1667,1,7,113.95578430000,22.69902512000,167
322,10,8,113.95629920000,22.70166819000,167
152,3,5,114.11306590000,22.65132133000,168
988,1,5,114.12487930000,22.54238400000,169
501,4,8,114.12213100000,22.54068187000,169
153,1,5,114.03874360000,22.65086843000,170
1512,3,5,113.94789890000,22.57658566000,171
489,6,5,113.94735760000,22.57940852000,171
1136,1,6,113.94612690000,22.57394772000,171
1702,7,6,113.94624640000,22.57888194000,171
1878,1,5,113.87149920000,22.78752544000,172
340,6,6,113.86998940000,22.78888941000,172
1442,7,6,113.86794460000,22.78799947000,172
635,13,5,114.05583190000,22.66368710000,173
1363,7,6,114.05640520000,22.66622361000,173
864,1,4,114.01110180000,22.54849473000,174
733,1,6,114.00632270000,22.54698399000,174
1815,3,7,114.00522120000,22.55062802000,174
345,1,6,113.86051750000,22.80416164000,175
863,1,6,113.85285520000,22.80413950000,175
1911,1,7,113.85704790000,22.80447067000,175
1995,1,3,114.23910920000,22.66535460000,176
1360,1,4,114.23691740000,22.66163082000,176
550,1,12,113.76458460000,22.67131472000,177
496,1,8,114.01358800000,22.73071888000,178
41,1,5,114.28886050000,22.71543158000,179
1668,1,6,114.29222590000,22.71664817000,179
1986,1,3,114.00478450000,22.65568646000,180
286,1,7,114.00271250000,22.65876506000,180
1006,1,7,113.93705250000,22.74123688000,181
1463,1,5,113.81884090000,22.66555661000,182
957,9,6,113.81856520000,22.66400442000,182
1778,12,6,113.81483640000,22.66263073000,182
666,6,7,113.81628820000,22.66386218000,182
14,10,7,113.81715460000,22.66138633000,182
1053,1,6,114.29237670000,22.77964080000,183
808,1,7,114.29418640000,22.78351266000,183
1113,1,9,113.84540370000,22.71817642000,184
1167,4,6,114.12831820000,22.59289349000,185
1755,1,7,114.12685780000,22.59735500000,185
457,1,9,114.12683300000,22.59429138000,185
1139,1,5,114.35173520000,22.72512387000,186
714,7,5,114.35560990000,22.72245062000,186
588,4,6,113.81593330000,22.72504131000,187
1950,1,7,113.81389710000,22.72069673000,187
471,1,7,114.40117990000,22.69343354000,188
1971,3,5,113.83414940000,22.62683087000,189
218,9,5,113.83773210000,22.62275309000,189
1756,1,6,113.83610770000,22.62501676000,189
1898,4,6,113.83714560000,22.62252707000,189
174,7,6,113.83322090000,22.62806894000,189
922,7,8,113.83472210000,22.62417137000,189
768,4,5,114.32367980000,22.69825868000,190
658,3,6,114.32666810000,22.70054039000,190
1121,7,7,114.32410810000,22.69933858000,190
1087,1,4,113.89611900000,22.72186615000,191
1688,4,5,113.89657000000,22.72697373000,191
1955,6,5,113.89355770000,22.72581481000,191
263,1,6,113.89479170000,22.72568799000,191
646,6,6,113.89305220000,22.72747026000,191
583,13,6,113.89844340000,22.72509922000,191
1703,1,3,114.41781880000,22.63241271000,192
1974,1,5,113.92050920000,22.56157879000,193
54,1,5,113.83333300000,22.80163876000,194
273,3,6,114.11593100000,22.58323568000,195
1522,4,6,114.11821990000,22.58405479000,195
656,1,5,113.89422230000,22.47161056000,196
1189,4,5,114.11339220000,22.54692885000,197
751,9,5,114.11443390000,22.54688574000,197
1742,6,6,114.11712660000,22.54437638000,197
293,7,6,114.11524940000,22.54416164000,197
1272,4,7,114.11651530000,22.54753758000,197
1197,1,9,113.83476270000,22.70959186000,198
72,1,9,114.53223020000,22.48814980000,199
928,1,6,114.42590740000,22.60700273000,200
1838,1,8,114.42096610000,22.60634306000,200
1492,6,5,114.02680610000,22.53253681000,201
857,4,6,114.02651840000,22.53701933000,201
188,7,6,114.02621920000,22.53465225000,201
587,1,6,114.28372400000,22.75135238000,202
265,9,5,114.10278930000,22.59637715000,203
1125,6,6,114.10352730000,22.59303690000,203
1430,13,5,114.29597730000,22.68899235000,204
951,7,8,114.29841940000,22.68903631000,204
726,1,5,113.79483920000,22.74855338000,205
260,1,6,113.79505640000,22.75418000000,205
463,1,5,114.08064800000,22.69997714000,206
1285,1,8,114.08394850000,22.70335269000,206
236,1,4,113.86474220000,22.66483024000,207
766,1,3,114.07244300000,22.64882780000,208
1890,1,4,114.07420670000,22.64710159000,208
1134,4,4,114.05137110000,22.61576577000,209
992,12,5,114.05432320000,22.62251348000,209
1655,7,6,114.05443750000,22.61719715000,209
31,10,7,114.05383600000,22.61972877000,209
272,1,4,113.86356400000,22.77118378000,210
1305,1,5,113.86009550000,22.77341249000,210
1011,6,8,113.86537660000,22.77279151000,210
159,1,5,114.32426390000,22.60439637000,211
1937,1,12,114.32814090000,22.60612872000,211
1022,1,2,114.03216650000,22.71384223000,212
455,3,5,114.02976010000,22.71589073000,212
746,1,15,113.86425090000,22.82567476000,213
311,1,5,114.00224440000,22.69314260000,214
1833,3,4,114.09148130000,22.54589324000,215
1047,6,5,114.08930100000,22.54651745000,215
1297,1,6,114.09465760000,22.54532429000,215
1191,3,7,114.09491780000,22.54625325000,215
1475,6,6,114.34033520000,22.67975800000,216
567,13,6,114.33898120000,22.67951050000,216
238,3,7,114.34346790000,22.67830278000,216
987,7,4,114.25638180000,22.58771104000,217
551,4,5,114.24914640000,22.59077579000,217
1800,7,6,114.25177160000,22.58882349000,217
1157,1,4,114.05153480000,22.69449135000,218
250,1,8,114.23389610000,22.72903088000,219
1775,6,4,114.22256240000,22.61654006000,220
964,6,6,114.22099180000,22.61977221000,220
5,7,6,114.22503700000,22.61841569000,220
1396,7,6,114.07185890000,22.62126535000,221
92,13,6,114.07097830000,22.62051232000,221
400,9,7,114.07129890000,22.62399143000,221
1303,1,5,113.87646850000,22.77355168000,222
724,1,6,113.87863680000,22.77464006000,222
1500,6,7,113.88003200000,22.77274469000,222
11,6,6,113.96080130000,22.68692960000,223
1143,10,6,113.96196300000,22.68590585000,223
1165,1,10,113.96368710000,22.69016531000,223
415,4,5,114.05790460000,22.57556408000,224
794,7,6,114.05526030000,22.57549334000,224
44,9,6,114.05443830000,22.57384190000,224
182,1,8,114.03139230000,22.74005973000,225
1116,12,3,114.31600980000,22.70745292000,226
1086,1,6,114.31012580000,22.70130953000,226
1414,1,6,114.30991280000,22.70623564000,226
1839,1,7,114.31189200000,22.70594705000,226
1543,4,5,113.91763230000,22.49709860000,227
504,3,6,113.91527880000,22.49775564000,227
1160,12,6,113.91408310000,22.49541760000,227
