ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC
423,1,2,2,7,2,2,0,0,4,1,1
426,1,3,4,6,2,1,0,0,2,0,3
427,1,2,4,7,2,3,0,0,3,1,1
432,1,2,2,7,1,3,0,0,7,1,2
435,0,2,1,7,1,6,1,2,5,1,4
437,1,3,5,7,2,1,0,0,4,1,1
438,0,2,3,7,2,3,0,0,4,1,1
440,1,3,5,7,2,3,1,1,4,1,1
441,1,3,5,7,2,2,0,0,5,1,1
446,1,2,2,7,2,3,0,0,2,1,1
447,1,2,6,9,2,1,0,0,2,1,0
451,0,3,3,6,2,3,0,1,5,1,2
453,1,2,3,7,1,2,0,1,2,1,1
456,1,3,5,6,2,1,0,0,3,1,2
457,1,1,1,7,1,4,1,0,1,1,1
460,1,3,5,7,2,3,0,0,3,1,2
465,1,3,5,6,2,4,2,0,3,1,2
470,0,4,7,7,2,3,2,0,6,1,3
475,1,3,6,7,2,1,0,0,3,0,1
485,1,2,2,7,1,3,0,1,1,1,3
490,1,3,7,9,2,3,1,0,4,1,2
493,1,1,1,5,1,3,1,0,2,0,1
496,1,4,6,7,2,3,1,0,5,1,1
498,0,3,6,7,2,1,1,0,4,0,2
503,0,3,3,6,4,1,0,0,2,0,1
504,1,2,6,9,2,2,0,0,4,1,1
508,1,3,2,6,2,4,1,2,2,1,1
509,1,4,5,7,2,6,1,2,5,1,1
510,0,3,2,5,4,2,0,0,4,0,2
512,1,2,3,7,2,6,1,2,7,1,4
517,1,2,4,7,2,2,0,0,3,0,2
528,0,3,3,6,2,3,0,1,2,1,2
539,1,4,5,7,2,4,1,1,3,0,2
540,1,3,6,7,2,3,1,0,6,1,1
541,1,4,7,7,2,5,1,2,5,1,3
554,1,3,5,7,2,2,0,0,2,0,2
563,0,4,7,7,2,4,2,0,6,1,3
566,1,3,5,7,2,2,0,0,4,1,2
568,1,3,4,6,2,2,0,0,2,1,2
569,1,2,4,6,4,4,1,0,4,1,2
572,1,2,6,7,2,4,2,0,3,1,3
573,1,3,4,7,2,1,0,0,3,0,1
576,1,2,6,7,2,3,0,0,4,1,3
578,0,3,5,6,2,4,1,1,4,1,1
580,1,2,3,7,2,2,0,0,1,0,1
588,1,3,4,7,2,5,2,1,3,0,1
590,1,2,3,6,2,3,0,0,3,1,2
591,1,3,6,7,2,3,1,2,4,1,3
592,1,2,6,7,2,1,0,0,2,1,0
595,0,3,6,7,2,4,1,1,4,1,1
604,1,3,4,6,2,1,0,0,2,0,1
607,0,2,2,7,2,3,0,0,4,1,2
612,1,2,3,7,1,3,0,0,3,1,2
614,1,3,6,9,2,5,1,2,4,1,3
616,0,3,5,6,2,4,1,1,4,1,1
618,1,3,5,7,2,2,0,0,2,0,3
623,0,3,4,6,2,3,0,1,5,1,2
624,1,4,6,7,2,5,1,2,5,1,2
628,1,3,3,7,2,4,1,1,3,1,2
632,1,5,6,7,2,2,0,0,3,1,1
638,1,3,4,7,2,5,1,2,2,1,2
639,0,3,3,7,2,1,0,0,1,0,0
643,0,4,7,9,2,5,1,2,7,1,3
645,1,4,6,6,2,3,1,0,3,1,0
646,1,3,5,6,2,3,0,0,5,1,5
647,1,2,2,2,2,6,0,2,2,0,2
648,0,4,7,7,2,4,2,0,6,1,2
649,0,3,5,7,2,1,0,0,2,1,1
659,0,4,3,6,2,3,1,1,4,1,2
661,1,3,4,6,2,2,0,0,3,1,2
663,0,3,6,7,2,5,1,2,4,0,2
667,1,3,4,6,2,4,1,1,4,1,2
668,1,2,4,7,2,1,0,0,3,0,1
669,1,3,5,7,2,3,1,0,4,1,1
670,0,2,2,7,1,1,0,0,2,0,1
678,0,3,7,7,2,1,0,0,3,1,1
679,1,3,5,7,2,4,1,1,4,1,1
681,1,3,3,7,2,3,0,0,2,1,1
685,1,2,2,6,2,3,1,0,2,1,2
688,1,1,1,5,1,4,2,0,2,1,2
689,1,2,6,7,2,2,0,1,4,1,2
691,1,4,4,5,2,5,1,2,2,0,2
692,0,5,7,7,2,3,1,0,5,1,1
694,1,4,5,7,2,4,2,0,4,1,2
695,0,3,4,7,2,4,2,0,3,1,0
697,1,2,5,7,2,2,0,0,4,1,1
698,0,3,7,9,2,2,0,0,5,1,1
712,1,3,6,7,2,2,0,0,5,1,1
722,1,3,6,7,2,2,0,0,5,1,1
725,1,4,5,6,2,3,1,0,2,1,2
726,1,3,3,7,4,5,1,0,3,0,1
728,0,4,5,7,2,3,1,0,4,1,1
731,1,2,2,6,1,5,0,0,2,0,3
735,1,2,2,6,1,3,3,0,4,0,2
736,0,3,6,7,2,4,1,1,3,0,1
