ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Cooking_fre,Bread_machine
213,1,4,4,6,2,5,1,2,4,1,3,0
217,1,2,2,7,2,2,0,2,1,1,1,0
219,1,3,5,7,2,5,1,0,3,1,4,1
221,0,3,3,5,2,1,1,0,1,0,3,0
222,0,4,7,9,2,5,1,2,7,1,3,1
223,0,3,1,6,2,1,0,0,1,0,2,0
226,1,3,6,9,2,3,1,0,5,1,3,0
227,1,3,3,7,2,3,0,2,2,1,5,0
229,0,3,3,5,2,2,1,0,1,0,3,0
231,1,3,5,7,2,5,1,0,3,1,4,1
233,1,3,6,7,2,3,1,0,3,0,3,0
234,1,3,7,7,2,2,0,0,4,1,3,0
235,1,3,6,9,2,3,0,2,5,1,3,0
236,1,4,6,7,2,4,1,2,6,1,5,1
237,1,3,6,7,2,1,0,0,5,0,2,1
240,0,2,3,7,1,1,0,0,3,0,3,0
242,0,3,6,7,2,3,1,0,3,0,3,0
245,1,3,3,6,2,4,1,1,4,1,3,1
246,0,3,3,5,2,2,1,0,1,0,3,0
248,1,4,7,6,2,6,2,2,6,1,3,1
249,0,3,3,7,2,4,0,1,4,1,5,1
250,1,2,2,7,1,4,1,0,4,1,3,0
253,0,3,3,7,2,3,0,1,3,1,4,0
254,1,3,4,6,2,4,1,1,4,1,3,1
255,1,2,7,7,2,1,0,0,2,1,5,0
257,0,4,7,9,2,5,1,2,6,1,4,1
259,1,2,4,7,2,5,1,1,3,1,3,0
260,0,3,3,5,2,2,1,0,1,0,3,0
261,0,2,7,9,2,2,0,0,6,1,2,0
262,1,2,4,7,2,1,1,0,3,0,5,1
263,0,3,4,9,2,5,1,0,4,1,4,1
267,0,3,4,9,1,1,0,0,1,0,4,0
270,1,3,5,6,2,4,1,1,4,1,3,1
271,1,3,4,5,2,4,1,1,4,1,2,1
272,1,4,5,6,2,6,2,2,4,1,3,0
273,0,3,3,7,2,2,0,0,4,0,4,0
275,0,3,3,5,2,2,1,0,1,0,3,0
277,0,4,7,7,2,3,1,0,4,1,4,0
278,1,3,4,6,2,4,1,1,4,1,3,1
279,1,3,7,7,2,5,1,2,7,0,4,0
281,1,3,7,7,2,2,0,0,4,1,2,1
283,1,3,5,7,2,5,1,0,3,1,4,1
285,0,4,5,6,2,6,1,2,4,1,3,0
286,1,5,5,6,2,5,2,2,3,1,2,0
287,0,2,1,7,1,1,0,0,1,0,1,0
288,0,3,3,7,2,4,0,1,4,1,5,1
289,1,3,5,7,2,3,1,0,3,1,4,0
290,0,3,6,7,2,3,1,0,6,1,4,1
291,0,3,4,5,2,4,1,1,4,1,3,1
292,1,3,7,7,2,4,1,2,6,0,2,0
293,1,4,7,6,2,4,1,1,5,1,3,1
294,1,2,7,7,2,1,0,0,2,1,4,0
296,0,3,7,9,2,2,0,0,5,1,2,1
297,1,2,6,7,2,1,0,0,2,1,4,0
299,1,3,6,7,2,4,1,1,4,1,4,0
302,1,5,5,6,2,2,0,2,1,1,5,0
314,0,3,3,5,2,1,0,0,1,0,4,0
316,0,2,3,6,2,1,0,0,3,0,3,0
317,1,3,6,6,2,4,1,1,4,1,3,1
319,1,4,6,7,2,5,1,2,5,1,5,1
326,1,3,5,6,2,3,1,0,2,1,3,1
328,1,3,5,7,2,4,1,1,4,1,3,0
330,1,4,6,6,2,4,1,1,4,1,3,1
332,0,3,7,9,2,2,0,0,4,1,4,0
343,1,4,5,6,2,3,1,0,3,1,3,1
346,1,3,6,7,2,4,1,1,4,1,4,0
347,0,3,3,7,2,4,0,2,4,1,5,1
348,0,3,4,6,2,1,0,0,1,0,4,0
349,1,3,6,9,2,1,0,0,2,1,5,1
354,1,2,5,7,2,3,0,0,2,1,3,0
355,1,2,1,7,1,3,0,0,4,1,3,0
357,0,4,5,6,2,5,1,2,4,1,3,0
358,1,2,2,7,1,3,0,1,7,1,4,1
360,1,3,6,7,2,4,1,1,3,1,3,0
362,1,3,5,5,2,4,1,1,3,1,3,0
366,1,2,2,7,1,3,0,0,5,1,5,0
368,1,3,5,7,2,3,1,0,6,1,5,1
370,1,4,6,7,2,2,0,0,4,0,3,0
381,1,3,5,7,2,1,0,0,6,1,5,0
390,0,2,5,7,2,4,0,0,6,1,5,1
394,1,2,2,7,1,3,1,1,2,0,4,0
398,0,2,3,7,2,2,0,0,3,1,4,1
400,1,3,6,7,2,2,0,0,4,1,3,0
406,0,4,3,7,2,1,0,0,1,1,5,1
408,1,2,3,7,1,3,0,0,4,1,2,0
414,1,2,3,9,1,3,0,0,3,1,5,0
415,1,2,5,7,2,2,0,0,2,0,3,0
418,0,4,5,7,2,2,0,0,4,1,5,0
420,0,3,6,6,2,4,1,1,4,1,4,0
423,1,2,2,7,2,2,0,0,4,1,3,1
426,1,3,4,6,2,1,0,0,2,0,3,0
427,1,2,4,7,2,3,0,0,3,1,5,0
432,1,2,2,7,1,3,0,0,7,1,2,1
435,0,2,1,7,1,6,1,2,5,1,5,1
437,1,3,5,7,2,1,0,0,4,1,3,0
438,0,2,3,7,2,3,0,0,4,1,3,1
440,1,3,5,7,2,3,1,1,4,1,3,1
441,1,3,5,7,2,2,0,0,5,1,5,0
446,1,2,2,7,2,3,0,0,2,1,4,1
447,1,2,6,9,2,1,0,0,2,1,4,0
451,0,3,3,6,2,3,0,1,5,1,3,0
453,1,2,3,7,1,2,0,1,2,1,5,0
456,1,3,5,6,2,1,0,0,3,1,3,0
457,1,1,1,7,1,4,1,0,1,1,5,1
460,1,3,5,7,2,3,0,0,3,1,5,1
465,1,3,5,6,2,4,2,0,3,1,3,0
