PID,Yearly_electricity,Certainty,District
2244, 2576.3587375, 0, 1
9171, 2694.6919000000003, 0, 10
19394, 3764.5958181818182, 0.2, 16
3143, 2248.1935750000007, 0.2, 4
17561, 3763.38, 0.2, 9
19294, 3431.848081818182, 0, 12
10714, 2321.8516000000004, 0.4, 9
16663, 4415.577272727273, 0.2, 4
858, 2694.6919000000003, 0, 3
16098, 2326.246600000001, 0.4, 3
17951, 2309.9248000000002, 0.4, 2
3731, 2103.6700000000005, 0.2, 3
17933, 2103.6700000000005, 0.4, 6
1683, 2761.8317200000006, 0.4, 2
134, 2109.6700000000005, 0.2, 11
7027, 2713.4426000000008, 0, 10
13439, 2644.4277000000006, 0.4, 15
19178, 2758.4297200000005, 0, 4
8565, 2109.6700000000005, 0.2, 3
5688, 2649.5568000000007, 0.2, 6
2676, 2652.1291000000006, 0.2, 15
1200, 2702.5660000000003, 0.4, 1
13396, 2691.2899, 0.4, 12
10420, 2791.5418000000004, 0.2, 4
401, 3214.997272727273, 0.4, 11
1923, 2761.8317200000006, 0.6, 15
11684, 2581.6389250000007, 0.2, 12
12904, 2581.6389250000007, 0.4, 12
6673, 2713.4426000000008, 0.2, 6
15736, 2103.6700000000005, 0, 6
14368, 3745.198181818182, 0.2, 12
8073, 2109.6700000000005, 0.2, 9
1004, 2837.6156000000005, 0.2, 6
20027, 2309.9248000000002, 0.2, 5
13687, 2103.6700000000005, 0.4, 11
14635, 3424.3375000000005, 0, 11
12664, 2718.117100000001, 0.2, 10
7263, 2713.4426000000008, 0.4, 10
18052, 2632.6345000000006, 0, 9
3204, 2244.1300750000005, 0, 9
19202, 2880.6547181818187, 0.2, 11
12684, 2718.117100000001, 0.6, 12
2391, 3745.198181818182, 0.2, 10
12612, 2694.6919000000003, 0.6, 10
19221, 3374.461954545455, 0.2, 4
4183, 3371.120672727273, 0, 11
6196, 2729.0629000000004, 0.4, 9
17320, 2103.6700000000005, 0.2, 9
1766, 2242.4857750000006, 0, 3
4166, 3543.997818181819, 0.4, 3
19976, 2792.2229200000006, 0.2, 8
17093, 2103.6700000000005, 0.2, 8
3434, 2713.4426000000008, 0, 14
4311, 3239.339090909091, 0.4, 12
10110, 3438.3681818181826, 0.4, 6
13675, 2103.6700000000005, 0.4, 10
3744, 2103.6700000000005, 0.4, 9
7254, 2729.0629000000004, 0.4, 10
18492, 3862.2916363636364, 0, 11
5550, 2649.5568000000007, 0.4, 6
20810, 2662.922900000001, 0.6, 11
19928, 2103.6700000000005, 0, 10
17729, 2309.9248000000002, 0.4, 3
9234, 2694.6919000000003, 0.2, 3
15420, 2103.6700000000005, 0, 9
12942, 2642.922900000001, 0.4, 12
9454, 2109.6700000000005, 0, 6
13643, 2330.7216000000003, 0.4, 2
5487, 2649.5568000000007, 0.2, 12
7611, 2713.4426000000008, 0.6, 12
13047, 3725.780625, 0, 3
8324, 2720.519500000001, 0.4, 3
19602, 3669.7902954545457, 0.4, 3
13093, 2794.523600000001, 0, 13
13869, 2103.6700000000005, 0.4, 7
6462, 2743.7017, 0.2, 9
11928, 2581.6389250000007, 0, 2
13040, 2718.117100000001, 0.4, 8
21704, 2982.415763636364, 0, 14
14386, 3745.198181818182, 0.6, 3
15518, 2809.6341500000003, 0.6, 4
19088, 3851.553, 0.4, 3
7417, 2713.4426000000008, 0.4, 3
