ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend
768,1,3,2,6,2,3,1,0,2,1,1,3,4.5,9
771,1,3,5,6,2,4,1,1,3,1,1,4,4.5,9
772,1,3,6,7,2,3,0,0,5,0,2,4,9,15
779,0,4,4,5,2,8,2,2,3,1,4,3,9,15
781,1,3,6,7,2,1,0,0,3,0,2,4,4.5,4.5
782,1,2,6,7,2,1,0,0,2,1,0,0,0,0
791,0,3,6,7,2,3,1,0,3,1,2,3,9,15
792,1,2,3,6,2,6,1,1,4,1,2,2,21,21
794,1,3,7,7,2,2,0,0,5,1,1,4,4.5,4.5
795,0,3,5,6,2,3,1,0,4,1,2,2,4.5,9
797,1,3,3,6,2,2,0,0,2,1,1,4,4.5,9
799,1,3,7,7,2,3,1,0,5,1,2,4,9,4.5
800,0,5,5,7,2,3,1,0,6,1,2,4,9,9
801,1,3,7,6,2,2,0,0,4,1,1,3,1.5,1.5
802,1,3,5,7,2,2,0,0,2,1,2,5,4.5,9
806,1,3,5,7,2,1,0,0,2,1,2,2,15,15
807,0,3,6,7,2,4,1,0,6,1,3,3,9,9
808,1,2,3,7,1,3,0,0,3,1,3,5,9,9
809,0,3,2,7,2,5,2,0,2,0,3,3,4.5,9
811,1,2,2,7,2,2,5,2,4,1,2,2,21,21
816,0,4,5,6,2,5,2,0,3,1,1,6,4.5,4.5
818,1,3,4,7,2,2,0,0,2,0,1,7,9,15
823,0,4,1,5,2,3,0,0,1,1,0,0,0,0
824,0,3,4,7,2,4,1,1,4,1,3,4,4.5,15
826,1,4,4,6,2,3,1,0,2,1,1,3,4.5,4.5
831,0,3,4,6,2,4,2,0,3,0,2,3,9,15
832,1,3,5,7,1,3,0,0,3,1,1,3,9,4.5
835,1,2,3,6,2,1,1,0,1,0,1,2,1.5,9
836,0,3,5,9,2,4,1,1,4,1,2,3,1.5,9
839,0,3,5,7,2,2,0,0,3,1,3,4,4.5,9
840,1,3,4,7,2,2,0,0,3,1,2,5,4.5,9
841,1,3,3,5,4,3,0,0,3,1,2,4,4.5,9
843,1,2,4,6,2,5,1,0,3,1,1,5,4.5,4.5
845,1,3,6,7,2,3,1,0,3,0,3,4,9,15
847,1,3,4,7,2,3,0,1,2,1,2,3,4.5,9
855,1,4,6,7,2,5,2,1,4,1,2,3,1.5,1.5
860,1,2,1,6,1,3,0,0,2,0,3,4,4.5,9
861,1,2,6,7,2,3,0,0,3,1,3,4,4.5,9
862,1,2,3,5,2,3,0,0,2,1,1,3,4.5,9
863,1,3,4,6,2,1,1,0,2,0,1,3,4.5,9
864,0,3,7,7,2,3,0,0,7,1,2,3,1.5,1.5
865,1,2,1,7,1,4,0,0,2,1,1,6,9,9
866,0,3,4,6,2,1,0,0,3,0,2,6,4.5,9
867,1,2,6,6,2,5,1,2,4,1,2,3,21,21
868,1,4,7,7,2,1,0,0,5,0,2,5,4.5,21
869,1,3,6,7,2,5,1,2,5,1,3,4,4.5,4.5
870,0,3,6,7,2,3,1,0,4,1,2,3,9,15
