ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend,Temp_summer_day
193,0,3,6,7,2,1,0,0,2,0,0,0,0,0,0
200,0,3,3,5,2,1,1,0,1,0,1,3,4.5,9,3
202,1,2,1,7,1,1,0,0,1,0,1,5,9,15,3
203,0,5,7,9,2,3,0,0,5,1,3,3,9,15,5
206,0,3,5,7,2,2,0,0,3,0,3,2,4.5,9,1
208,0,3,3,5,2,5,1,2,2,1,1,4,9,9,2
211,0,3,7,7,2,3,1,0,7,1,1,5,4.5,4.5,1
213,1,4,4,6,2,5,1,2,4,1,1,4,4.5,9,4
217,1,2,2,7,2,2,0,2,1,1,1,4,9,9,3
219,1,3,5,7,2,5,1,0,3,1,2,5,4.5,9,3
221,0,3,3,5,2,1,1,0,1,0,1,3,4.5,9,3
222,0,4,7,9,2,5,1,2,7,1,2,4,9,21,2
223,0,3,1,6,2,1,0,0,1,0,1,2,1.5,4.5,3
226,1,3,6,9,2,3,1,0,5,1,2,3,4.5,4.5,3
227,1,3,3,7,2,3,0,2,2,1,1,3,4.5,4.5,1
229,0,3,3,5,2,2,1,0,1,0,1,3,4.5,9,3
231,1,3,5,7,2,5,1,0,3,1,2,5,4.5,9,2
233,1,3,6,7,2,3,1,0,3,0,2,2,4.5,15,1
234,1,3,7,7,2,2,0,0,4,1,2,3,9,15,2
235,1,3,6,9,2,3,0,2,5,1,1,3,9,4.5,4
236,1,4,6,7,2,4,1,2,6,1,2,3,9,9,2
237,1,3,6,7,2,1,0,0,5,0,1,4,4.5,15,4
240,0,2,3,7,1,1,0,0,3,0,1,3,4.5,4.5,4
242,0,3,6,7,2,3,1,0,3,0,2,2,4.5,15,1
245,1,3,3,6,2,4,1,1,4,1,1,3,4.5,9,5
246,0,3,3,5,2,2,1,0,1,0,1,3,9,15,3
248,1,4,7,6,2,6,2,2,6,1,3,4,4.5,15,4
249,0,3,3,7,2,4,0,1,4,1,1,3,4.5,9,5
250,1,2,2,7,1,4,1,0,4,1,3,4,4.5,15,6
253,0,3,3,7,2,3,0,1,3,1,1,5,1.5,9,3
254,1,3,4,6,2,4,1,1,4,1,1,3,4.5,9,5
255,1,2,7,7,2,1,0,0,2,1,0,0,0,0,0
257,0,4,7,9,2,5,1,2,6,1,2,5,9,15,2
259,1,2,4,7,2,5,1,1,3,1,2,3,9,9,3
260,0,3,3,5,2,2,1,0,1,0,1,3,9,15,3
261,0,2,7,9,2,2,0,0,6,1,3,3,1.5,4.5,1
262,1,2,4,7,2,1,1,0,3,0,1,4,4.5,4.5,2
263,0,3,4,9,2,5,1,0,4,1,2,5,4.5,9,4
267,0,3,4,9,1,1,0,0,1,0,1,4,1.5,4.5,1
270,1,3,5,6,2,4,1,1,4,1,1,4,4.5,9,4
271,1,3,4,5,2,4,1,1,4,1,1,3,4.5,9,4
272,1,4,5,6,2,6,2,2,4,1,2,3,4.5,4.5,4
273,0,3,3,7,2,2,0,0,4,0,1,3,4.5,4.5,5
275,0,3,3,5,2,2,1,0,1,0,1,3,9,15,3
277,0,4,7,7,2,3,1,0,4,1,1,2,4.5,9,1
278,1,3,4,6,2,4,1,1,4,1,1,4,4.5,9,4
279,1,3,7,7,2,5,1,2,7,0,1,3,4.5,9,5
281,1,3,7,7,2,2,0,0,4,1,1,5,9,15,4
283,1,3,5,7,2,5,1,0,3,1,2,5,4.5,9,4
285,0,4,5,6,2,6,1,2,4,1,2,3,9,9,4
286,1,5,5,6,2,5,2,2,3,1,1,3,9,9,4
287,0,2,1,7,1,1,0,0,1,0,1,5,21,15,2
288,0,3,3,7,2,4,0,1,4,1,1,2,4.5,9,5
289,1,3,5,7,2,3,1,0,3,1,3,4,4.5,9,3
290,0,3,6,7,2,3,1,0,6,1,3,3,9,9,3
291,0,3,4,5,2,4,1,1,4,1,1,4,4.5,9,4
292,1,3,7,7,2,4,1,2,6,0,1,3,9,9,6
293,1,4,7,6,2,4,1,1,5,1,3,3,4.5,9,4
294,1,2,7,7,2,1,0,0,2,1,1,3,1.5,1.5,1
296,0,3,7,9,2,2,0,0,5,1,1,7,4.5,15,3
297,1,2,6,7,2,1,0,0,2,1,0,0,0,0,0
299,1,3,6,7,2,4,1,1,4,1,1,3,4.5,4.5,4
302,1,5,5,6,2,2,0,2,1,1,1,3,1.5,1.5,4
314,0,3,3,5,2,1,0,0,1,0,1,4,9,9,1
316,0,2,3,6,2,1,0,0,3,0,1,2,4.5,4.5,5
317,1,3,6,6,2,4,1,1,4,1,1,4,4.5,9,5
319,1,4,6,7,2,5,1,2,5,1,2,3,4.5,1.5,1
326,1,3,5,6,2,3,1,0,2,1,1,4,1.5,4.5,4
328,1,3,5,7,2,4,1,1,4,1,1,4,4.5,9,4
330,1,4,6,6,2,4,1,1,4,1,3,4,4.5,15,3
332,0,3,7,9,2,2,0,0,4,1,1,3,4.5,9,1
343,1,4,5,6,2,3,1,0,3,1,1,2,1.5,1.5,3
346,1,3,6,7,2,4,1,1,4,1,1,5,4.5,4.5,3
347,0,3,3,7,2,4,0,2,4,1,1,3,9,15,5
348,0,3,4,6,2,1,0,0,1,0,1,3,9,9,1
349,1,3,6,9,2,1,0,0,2,1,1,5,1.5,4.5,2
354,1,2,5,7,2,3,0,0,2,1,3,4,9,9,5
355,1,2,1,7,1,3,0,0,4,1,2,2,4.5,15,1
357,0,4,5,6,2,5,1,2,4,1,1,4,4.5,9,4
358,1,2,2,7,1,3,0,1,7,1,2,4,4.5,9,5
360,1,3,6,7,2,4,1,1,3,1,2,2,4.5,4.5,3
362,1,3,5,5,2,4,1,1,3,1,1,4,4.5,9,4
366,1,2,2,7,1,3,0,0,5,1,2,2,4.5,4.5,3
368,1,3,5,7,2,3,1,0,6,1,1,3,9,15,3
370,1,4,6,7,2,2,0,0,4,0,2,4,1.5,1.5,3
381,1,3,5,7,2,1,0,0,6,1,2,5,1.5,9,5
390,0,2,5,7,2,4,0,0,6,1,1,5,4.5,9,4
394,1,2,2,7,1,3,1,1,2,0,1,4,9,9,5
398,0,2,3,7,2,2,0,0,3,1,2,4,15,15,2
400,1,3,6,7,2,2,0,0,4,1,1,4,9,15,1
406,0,4,3,7,2,1,0,0,1,1,0,0,0,0,0
408,1,2,3,7,1,3,0,0,4,1,1,2,1.5,1.5,3
414,1,2,3,9,1,3,0,0,3,1,2,5,1.5,9,1
415,1,2,5,7,2,2,0,0,2,0,2,4,4.5,9,3
418,0,4,5,7,2,2,0,0,4,1,1,3,9,21,1
420,0,3,6,6,2,4,1,1,4,1,1,4,4.5,9,4
423,1,2,2,7,2,2,0,0,4,1,1,3,9,9,4
426,1,3,4,6,2,1,0,0,2,0,3,4,9,15,3
427,1,2,4,7,2,3,0,0,3,1,1,4,9,15,1
432,1,2,2,7,1,3,0,0,7,1,2,4,9,15,2
435,0,2,1,7,1,6,1,2,5,1,4,4,4.5,9,1
437,1,3,5,7,2,1,0,0,4,1,1,3,1.5,9,1
438,0,2,3,7,2,3,0,0,4,1,1,2,4.5,15,6
440,1,3,5,7,2,3,1,1,4,1,1,3,15,9,2
441,1,3,5,7,2,2,0,0,5,1,1,5,15,9,5
446,1,2,2,7,2,3,0,0,2,1,1,3,9,15,2
447,1,2,6,9,2,1,0,0,2,1,0,0,0,0,0
451,0,3,3,6,2,3,0,1,5,1,2,3,15,21,5
453,1,2,3,7,1,2,0,1,2,1,1,2,4.5,4.5,5
456,1,3,5,6,2,1,0,0,3,1,2,2,9,15,4
457,1,1,1,7,1,4,1,0,1,1,1,4,9,15,3
460,1,3,5,7,2,3,0,0,3,1,2,6,4.5,4.5,3
465,1,3,5,6,2,4,2,0,3,1,2,4,9,15,3
470,0,4,7,7,2,3,2,0,6,1,3,3,9,9,2
475,1,3,6,7,2,1,0,0,3,0,1,5,4.5,4.5,3
485,1,2,2,7,1,3,0,1,1,1,3,3,1.5,9,5
490,1,3,7,9,2,3,1,0,4,1,2,3,4.5,9,1
493,1,1,1,5,1,3,1,0,2,0,1,4,9,9,4
496,1,4,6,7,2,3,1,0,5,1,1,3,4.5,9,1
498,0,3,6,7,2,1,1,0,4,0,2,4,4.5,9,3
503,0,3,3,6,4,1,0,0,2,0,1,3,1.5,4.5,2
504,1,2,6,9,2,2,0,0,4,1,1,3,1.5,4.5,4
508,1,3,2,6,2,4,1,2,2,1,1,3,4.5,4.5,5
509,1,4,5,7,2,6,1,2,5,1,1,3,9,15,5
510,0,3,2,5,4,2,0,0,4,0,2,3,9,21,4
512,1,2,3,7,2,6,1,2,7,1,4,4,15,15,5
517,1,2,4,7,2,2,0,0,3,0,2,4,4.5,9,1
528,0,3,3,6,2,3,0,1,2,1,2,4,1.5,4.5,6
539,1,4,5,7,2,4,1,1,3,0,2,4,9,9,2
540,1,3,6,7,2,3,1,0,6,1,1,3,9,15,3
541,1,4,7,7,2,5,1,2,5,1,3,3,4.5,4.5,1
554,1,3,5,7,2,2,0,0,2,0,2,4,4.5,9,5
563,0,4,7,7,2,4,2,0,6,1,3,4,9,9,3
566,1,3,5,7,2,2,0,0,4,1,2,4,9,15,4
568,1,3,4,6,2,2,0,0,2,1,2,5,1.5,4.5,4
569,1,2,4,6,4,4,1,0,4,1,2,4,15,21,6
572,1,2,6,7,2,4,2,0,3,1,3,5,9,15,4
573,1,3,4,7,2,1,0,0,3,0,1,4,9,15,3
576,1,2,6,7,2,3,0,0,4,1,3,4,4.5,9,3
578,0,3,5,6,2,4,1,1,4,1,1,4,4.5,9,4
580,1,2,3,7,2,2,0,0,1,0,1,3,4.5,9,4
588,1,3,4,7,2,5,2,1,3,0,1,4,9,9,6
590,1,2,3,6,2,3,0,0,3,1,2,5,9,9,4
591,1,3,6,7,2,3,1,2,4,1,3,4,9,9,5
592,1,2,6,7,2,1,0,0,2,1,0,0,0,0,0
595,0,3,6,7,2,4,1,1,4,1,1,4,4.5,9,4
604,1,3,4,6,2,1,0,0,2,0,1,2,4.5,1.5,6
607,0,2,2,7,2,3,0,0,4,1,2,2,4.5,4.5,5
612,1,2,3,7,1,3,0,0,3,1,2,4,1.5,1.5,5
614,1,3,6,9,2,5,1,2,4,1,3,4,9,15,3
616,0,3,5,6,2,4,1,1,4,1,1,4,4.5,9,3
618,1,3,5,7,2,2,0,0,2,0,3,3,4.5,9,3
623,0,3,4,6,2,3,0,1,5,1,2,4,9,15,3
624,1,4,6,7,2,5,1,2,5,1,2,3,4.5,4.5,1
628,1,3,3,7,2,4,1,1,3,1,2,5,9,9,4
632,1,5,6,7,2,2,0,0,3,1,1,2,9,15,3
638,1,3,4,7,2,5,1,2,2,1,2,6,4.5,9,2
639,0,3,3,7,2,1,0,0,1,0,0,0,0,0,0
643,0,4,7,9,2,5,1,2,7,1,3,4,9,15,3
645,1,4,6,6,2,3,1,0,3,1,0,0,0,0,0
646,1,3,5,6,2,3,0,0,5,1,5,2,4.5,9,3
647,1,2,2,2,2,6,0,2,2,0,2,3,4.5,4.5,5
648,0,4,7,7,2,4,2,0,6,1,2,4,4.5,9,2
649,0,3,5,7,2,1,0,0,2,1,1,3,9,9,1
659,0,4,3,6,2,3,1,1,4,1,2,3,4.5,9,1
661,1,3,4,6,2,2,0,0,3,1,2,5,4.5,4.5,2
663,0,3,6,7,2,5,1,2,4,0,2,3,15,21,2
667,1,3,4,6,2,4,1,1,4,1,2,3,9,4.5,3
668,1,2,4,7,2,1,0,0,3,0,1,4,4.5,9,1
669,1,3,5,7,2,3,1,0,4,1,1,4,4.5,15,2
670,0,2,2,7,1,1,0,0,2,0,1,3,4.5,9,3
678,0,3,7,7,2,1,0,0,3,1,1,3,4.5,9,1
679,1,3,5,7,2,4,1,1,4,1,1,4,4.5,9,3
681,1,3,3,7,2,3,0,0,2,1,1,3,4.5,9,6
685,1,2,2,6,2,3,1,0,2,1,2,4,4.5,15,3
688,1,1,1,5,1,4,2,0,2,1,2,4,9,21,4
689,1,2,6,7,2,2,0,1,4,1,2,2,1.5,9,4
691,1,4,4,5,2,5,1,2,2,0,2,4,4.5,9,1
692,0,5,7,7,2,3,1,0,5,1,1,3,9,15,1
694,1,4,5,7,2,4,2,0,4,1,2,4,9,9,2
695,0,3,4,7,2,4,2,0,3,1,0,0,0,0,0
697,1,2,5,7,2,2,0,0,4,1,1,4,4.5,4.5,3
698,0,3,7,9,2,2,0,0,5,1,1,3,9,15,3
712,1,3,6,7,2,2,0,0,5,1,1,3,1.5,9,1
722,1,3,6,7,2,2,0,0,5,1,1,3,1.5,9,1
725,1,4,5,6,2,3,1,0,2,1,2,3,1.5,9,2
726,1,3,3,7,4,5,1,0,3,0,1,3,4.5,9,5
728,0,4,5,7,2,3,1,0,4,1,1,4,9,9,4
731,1,2,2,6,1,5,0,0,2,0,3,3,4.5,9,6
735,1,2,2,6,1,3,3,0,4,0,2,3,4.5,9,5
736,0,3,6,7,2,4,1,1,3,0,1,4,4.5,9,4
738,1,4,3,6,2,2,0,0,3,0,2,5,9,9,5
740,1,3,2,5,2,3,1,0,3,1,1,3,4.5,1.5,1
743,1,2,2,7,2,2,2,2,1,1,2,3,21,21,2
745,1,3,6,7,2,2,0,2,5,1,1,3,1.5,9,1
748,1,3,5,6,2,3,0,0,3,0,2,3,15,15,3
750,1,3,5,7,2,4,1,1,2,1,3,3,4.5,9,3
755,1,3,6,7,2,3,1,0,6,1,1,3,9,15,2
757,1,2,3,7,2,4,0,1,4,1,1,5,4.5,4.5,5
758,1,3,7,7,2,2,0,0,3,0,1,4,4.5,9,6
760,1,3,3,7,2,3,1,2,3,1,3,6,9,15,4
768,1,3,2,6,2,3,1,0,2,1,1,3,4.5,9,5
771,1,3,5,6,2,4,1,1,3,1,1,4,4.5,9,4
772,1,3,6,7,2,3,0,0,5,0,2,4,9,15,3
779,0,4,4,5,2,8,2,2,3,1,4,3,9,15,1
781,1,3,6,7,2,1,0,0,3,0,2,4,4.5,4.5,1
782,1,2,6,7,2,1,0,0,2,1,0,0,0,0,0
791,0,3,6,7,2,3,1,0,3,1,2,3,9,15,1
792,1,2,3,6,2,6,1,1,4,1,2,2,21,21,3
