ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling
314,0,3,3,5,2,1,0,0,1,0,1,4
316,0,2,3,6,2,1,0,0,3,0,1,2
317,1,3,6,6,2,4,1,1,4,1,1,4
319,1,4,6,7,2,5,1,2,5,1,2,3
326,1,3,5,6,2,3,1,0,2,1,1,4
328,1,3,5,7,2,4,1,1,4,1,1,4
330,1,4,6,6,2,4,1,1,4,1,3,4
332,0,3,7,9,2,2,0,0,4,1,1,3
343,1,4,5,6,2,3,1,0,3,1,1,2
346,1,3,6,7,2,4,1,1,4,1,1,5
347,0,3,3,7,2,4,0,2,4,1,1,3
348,0,3,4,6,2,1,0,0,1,0,1,3
349,1,3,6,9,2,1,0,0,2,1,1,5
354,1,2,5,7,2,3,0,0,2,1,3,4
355,1,2,1,7,1,3,0,0,4,1,2,2
357,0,4,5,6,2,5,1,2,4,1,1,4
358,1,2,2,7,1,3,0,1,7,1,2,4
360,1,3,6,7,2,4,1,1,3,1,2,2
362,1,3,5,5,2,4,1,1,3,1,1,4
366,1,2,2,7,1,3,0,0,5,1,2,2
368,1,3,5,7,2,3,1,0,6,1,1,3
370,1,4,6,7,2,2,0,0,4,0,2,4
381,1,3,5,7,2,1,0,0,6,1,2,5
390,0,2,5,7,2,4,0,0,6,1,1,5
394,1,2,2,7,1,3,1,1,2,0,1,4
398,0,2,3,7,2,2,0,0,3,1,2,4
400,1,3,6,7,2,2,0,0,4,1,1,4
406,0,4,3,7,2,1,0,0,1,1,0,0
408,1,2,3,7,1,3,0,0,4,1,1,2
414,1,2,3,9,1,3,0,0,3,1,2,5
415,1,2,5,7,2,2,0,0,2,0,2,4
418,0,4,5,7,2,2,0,0,4,1,1,3
420,0,3,6,6,2,4,1,1,4,1,1,4
423,1,2,2,7,2,2,0,0,4,1,1,3
426,1,3,4,6,2,1,0,0,2,0,3,4
427,1,2,4,7,2,3,0,0,3,1,1,4
432,1,2,2,7,1,3,0,0,7,1,2,4
435,0,2,1,7,1,6,1,2,5,1,4,4
437,1,3,5,7,2,1,0,0,4,1,1,3
438,0,2,3,7,2,3,0,0,4,1,1,2
440,1,3,5,7,2,3,1,1,4,1,1,3
441,1,3,5,7,2,2,0,0,5,1,1,5
446,1,2,2,7,2,3,0,0,2,1,1,3
447,1,2,6,9,2,1,0,0,2,1,0,0
451,0,3,3,6,2,3,0,1,5,1,2,3
453,1,2,3,7,1,2,0,1,2,1,1,2
456,1,3,5,6,2,1,0,0,3,1,2,2
457,1,1,1,7,1,4,1,0,1,1,1,4
460,1,3,5,7,2,3,0,0,3,1,2,6
465,1,3,5,6,2,4,2,0,3,1,2,4
470,0,4,7,7,2,3,2,0,6,1,3,3
475,1,3,6,7,2,1,0,0,3,0,1,5
485,1,2,2,7,1,3,0,1,1,1,3,3
490,1,3,7,9,2,3,1,0,4,1,2,3
493,1,1,1,5,1,3,1,0,2,0,1,4
496,1,4,6,7,2,3,1,0,5,1,1,3
498,0,3,6,7,2,1,1,0,4,0,2,4
503,0,3,3,6,4,1,0,0,2,0,1,3
504,1,2,6,9,2,2,0,0,4,1,1,3
508,1,3,2,6,2,4,1,2,2,1,1,3
509,1,4,5,7,2,6,1,2,5,1,1,3
510,0,3,2,5,4,2,0,0,4,0,2,3
512,1,2,3,7,2,6,1,2,7,1,4,4
517,1,2,4,7,2,2,0,0,3,0,2,4
528,0,3,3,6,2,3,0,1,2,1,2,4
539,1,4,5,7,2,4,1,1,3,0,2,4
540,1,3,6,7,2,3,1,0,6,1,1,3
541,1,4,7,7,2,5,1,2,5,1,3,3
554,1,3,5,7,2,2,0,0,2,0,2,4
563,0,4,7,7,2,4,2,0,6,1,3,4
566,1,3,5,7,2,2,0,0,4,1,2,4
568,1,3,4,6,2,2,0,0,2,1,2,5
569,1,2,4,6,4,4,1,0,4,1,2,4
572,1,2,6,7,2,4,2,0,3,1,3,5
573,1,3,4,7,2,1,0,0,3,0,1,4
576,1,2,6,7,2,3,0,0,4,1,3,4
578,0,3,5,6,2,4,1,1,4,1,1,4
580,1,2,3,7,2,2,0,0,1,0,1,3
588,1,3,4,7,2,5,2,1,3,0,1,4
590,1,2,3,6,2,3,0,0,3,1,2,5
591,1,3,6,7,2,3,1,2,4,1,3,4
592,1,2,6,7,2,1,0,0,2,1,0,0
595,0,3,6,7,2,4,1,1,4,1,1,4
604,1,3,4,6,2,1,0,0,2,0,1,2
607,0,2,2,7,2,3,0,0,4,1,2,2
612,1,2,3,7,1,3,0,0,3,1,2,4
614,1,3,6,9,2,5,1,2,4,1,3,4
616,0,3,5,6,2,4,1,1,4,1,1,4
618,1,3,5,7,2,2,0,0,2,0,3,3
623,0,3,4,6,2,3,0,1,5,1,2,4
624,1,4,6,7,2,5,1,2,5,1,2,3
628,1,3,3,7,2,4,1,1,3,1,2,5
632,1,5,6,7,2,2,0,0,3,1,1,2
638,1,3,4,7,2,5,1,2,2,1,2,6
639,0,3,3,7,2,1,0,0,1,0,0,0
643,0,4,7,9,2,5,1,2,7,1,3,4
645,1,4,6,6,2,3,1,0,3,1,0,0
646,1,3,5,6,2,3,0,0,5,1,5,2
647,1,2,2,2,2,6,0,2,2,0,2,3
648,0,4,7,7,2,4,2,0,6,1,2,4
649,0,3,5,7,2,1,0,0,2,1,1,3
659,0,4,3,6,2,3,1,1,4,1,2,3
661,1,3,4,6,2,2,0,0,3,1,2,5
663,0,3,6,7,2,5,1,2,4,0,2,3
667,1,3,4,6,2,4,1,1,4,1,2,3
668,1,2,4,7,2,1,0,0,3,0,1,4
669,1,3,5,7,2,3,1,0,4,1,1,4
670,0,2,2,7,1,1,0,0,2,0,1,3
678,0,3,7,7,2,1,0,0,3,1,1,3
679,1,3,5,7,2,4,1,1,4,1,1,4
681,1,3,3,7,2,3,0,0,2,1,1,3
685,1,2,2,6,2,3,1,0,2,1,2,4
688,1,1,1,5,1,4,2,0,2,1,2,4
689,1,2,6,7,2,2,0,1,4,1,2,2
691,1,4,4,5,2,5,1,2,2,0,2,4
692,0,5,7,7,2,3,1,0,5,1,1,3
694,1,4,5,7,2,4,2,0,4,1,2,4
695,0,3,4,7,2,4,2,0,3,1,0,0
697,1,2,5,7,2,2,0,0,4,1,1,4
698,0,3,7,9,2,2,0,0,5,1,1,3
712,1,3,6,7,2,2,0,0,5,1,1,3
722,1,3,6,7,2,2,0,0,5,1,1,3
725,1,4,5,6,2,3,1,0,2,1,2,3
726,1,3,3,7,4,5,1,0,3,0,1,3
728,0,4,5,7,2,3,1,0,4,1,1,4
731,1,2,2,6,1,5,0,0,2,0,3,3
735,1,2,2,6,1,3,3,0,4,0,2,3
736,0,3,6,7,2,4,1,1,3,0,1,4
738,1,4,3,6,2,2,0,0,3,0,2,5
740,1,3,2,5,2,3,1,0,3,1,1,3
743,1,2,2,7,2,2,2,2,1,1,2,3
745,1,3,6,7,2,2,0,2,5,1,1,3
748,1,3,5,6,2,3,0,0,3,0,2,3
750,1,3,5,7,2,4,1,1,2,1,3,3
755,1,3,6,7,2,3,1,0,6,1,1,3
757,1,2,3,7,2,4,0,1,4,1,1,5
758,1,3,7,7,2,2,0,0,3,0,1,4
760,1,3,3,7,2,3,1,2,3,1,3,6
768,1,3,2,6,2,3,1,0,2,1,1,3
771,1,3,5,6,2,4,1,1,3,1,1,4
772,1,3,6,7,2,3,0,0,5,0,2,4
779,0,4,4,5,2,8,2,2,3,1,4,3
781,1,3,6,7,2,1,0,0,3,0,2,4
782,1,2,6,7,2,1,0,0,2,1,0,0
791,0,3,6,7,2,3,1,0,3,1,2,3
792,1,2,3,6,2,6,1,1,4,1,2,2
794,1,3,7,7,2,2,0,0,5,1,1,4
795,0,3,5,6,2,3,1,0,4,1,2,2
797,1,3,3,6,2,2,0,0,2,1,1,4
799,1,3,7,7,2,3,1,0,5,1,2,4
800,0,5,5,7,2,3,1,0,6,1,2,4
801,1,3,7,6,2,2,0,0,4,1,1,3
802,1,3,5,7,2,2,0,0,2,1,2,5
806,1,3,5,7,2,1,0,0,2,1,2,2
807,0,3,6,7,2,4,1,0,6,1,3,3
808,1,2,3,7,1,3,0,0,3,1,3,5
809,0,3,2,7,2,5,2,0,2,0,3,3
811,1,2,2,7,2,2,5,2,4,1,2,2
816,0,4,5,6,2,5,2,0,3,1,1,6
818,1,3,4,7,2,2,0,0,2,0,1,7
823,0,4,1,5,2,3,0,0,1,1,0,0
824,0,3,4,7,2,4,1,1,4,1,3,4
826,1,4,4,6,2,3,1,0,2,1,1,3
831,0,3,4,6,2,4,2,0,3,0,2,3
832,1,3,5,7,1,3,0,0,3,1,1,3
835,1,2,3,6,2,1,1,0,1,0,1,2
836,0,3,5,9,2,4,1,1,4,1,2,3
839,0,3,5,7,2,2,0,0,3,1,3,4
840,1,3,4,7,2,2,0,0,3,1,2,5
841,1,3,3,5,4,3,0,0,3,1,2,4
843,1,2,4,6,2,5,1,0,3,1,1,5
845,1,3,6,7,2,3,1,0,3,0,3,4
847,1,3,4,7,2,3,0,1,2,1,2,3
855,1,4,6,7,2,5,2,1,4,1,2,3
860,1,2,1,6,1,3,0,0,2,0,3,4
861,1,2,6,7,2,3,0,0,3,1,3,4
862,1,2,3,5,2,3,0,0,2,1,1,3
863,1,3,4,6,2,1,1,0,2,0,1,3
864,0,3,7,7,2,3,0,0,7,1,2,3
865,1,2,1,7,1,4,0,0,2,1,1,6
866,0,3,4,6,2,1,0,0,3,0,2,6
867,1,2,6,6,2,5,1,2,4,1,2,3
868,1,4,7,7,2,1,0,0,5,0,2,5
869,1,3,6,7,2,5,1,2,5,1,3,4
870,0,3,6,7,2,3,1,0,4,1,2,3
