ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend,Temp_summer_day,Temp_summer_night
89,1,3,1,9,1,1,0,0,1,0,1,3,4.5,9,3,3
90,0,4,6,7,2,2,1,0,4,0,2,2,1.5,1.5,1,1
91,0,3,6,9,2,3,0,1,2,0,1,3,1.5,1.5,1,1
92,0,2,1,7,1,4,1,0,5,1,4,4,1.5,4.5,5,5
93,0,3,6,9,2,1,0,0,2,0,1,4,1.5,1.5,2,3
94,0,3,5,9,2,1,0,0,2,0,1,3,1.5,4.5,1,1
95,1,3,1,9,1,3,0,0,7,1,4,3,4.5,9,1,1
96,0,3,2,9,1,1,0,0,1,0,1,6,1.5,4.5,4,4
98,0,5,7,9,2,3,1,0,6,0,2,2,4.5,1.5,3,4
99,0,2,1,9,1,1,0,0,1,0,1,4,4.5,9,1,1
101,0,3,7,9,2,2,0,0,4,0,1,2,1.5,1.5,1,1
102,1,3,6,9,2,1,0,0,2,0,1,3,4.5,9,1,1
103,0,3,3,9,2,1,0,0,1,0,4,3,4.5,4.5,1,1
104,0,2,5,7,2,2,0,0,3,0,1,4,4.5,21,1,1
105,0,5,4,9,4,2,0,2,4,0,1,2,1.5,1.5,2,2
106,1,4,7,9,2,3,1,2,4,1,2,4,4.5,9,1,1
107,0,3,1,9,1,3,0,1,4,1,2,3,9,9,3,3
108,1,2,3,9,1,1,0,0,1,0,1,3,9,15,3,2
109,0,2,2,9,1,1,0,0,1,0,1,4,1.5,4.5,1,1
110,0,3,1,9,1,1,0,0,1,0,1,3,4.5,4.5,2,1
111,1,4,7,7,2,1,0,0,3,0,1,3,4.5,9,2,1
112,1,3,5,7,2,2,0,0,3,0,3,4,4.5,9,1,2
113,1,3,7,9,2,1,0,1,5,0,1,4,1.5,9,2,3
114,0,3,7,7,2,3,0,1,3,0,3,5,9,21,2,2
115,0,3,6,9,2,1,1,2,3,0,3,4,4.5,4.5,1,1
116,0,3,6,7,2,1,0,0,1,0,1,4,4.5,9,3,3
117,0,3,1,9,1,3,0,0,4,1,1,4,9,9,2,2
120,1,2,3,9,2,3,0,0,3,0,1,3,1.5,9,3,3
121,1,2,4,7,2,3,0,0,2,1,1,3,4.5,4.5,3,1
122,1,2,1,9,1,3,0,0,2,1,2,4,1.5,1.5,4,4
123,1,2,1,9,1,1,0,0,1,0,1,4,4.5,9,1,1
124,0,3,1,7,2,1,1,1,1,0,1,3,1.5,4.5,6,4
125,0,2,1,7,1,1,0,0,1,0,3,3,4.5,15,2,1
126,1,3,7,9,2,4,1,2,5,1,3,3,9,15,1,1
127,1,4,6,9,2,5,1,2,4,1,2,4,1.5,4.5,1,1
128,0,3,7,9,2,5,1,2,5,1,4,3,9,15,1,1
129,1,3,7,9,2,1,0,0,3,0,1,4,4.5,9,1,1
130,1,3,3,9,1,1,0,0,1,0,1,4,9,9,4,4
131,1,3,3,9,2,1,0,0,2,0,1,3,9,15,2,2
132,1,2,7,9,2,3,0,0,3,1,3,2,1.5,1.5,3,3
133,1,2,1,7,1,3,0,0,1,1,1,2,1.5,1.5,5,4
134,0,2,1,7,1,1,0,0,1,0,1,5,4.5,9,1,1
135,0,2,1,9,1,1,0,0,1,0,1,5,1.5,4.5,2,2
136,0,2,6,7,2,1,0,0,3,0,1,4,9,15,3,2
137,1,2,2,9,1,6,0,1,1,0,0,0,0,0,0,0
138,1,2,3,9,1,1,0,0,1,0,0,0,0,0,0,0
139,1,2,5,7,2,1,0,0,2,0,1,4,4.5,9,2,2
140,1,3,4,5,2,3,0,0,3,1,2,5,15,15,2,3
141,1,3,4,5,2,3,0,0,2,1,2,5,9,9,4,3
142,1,2,1,7,1,3,1,0,2,0,2,7,9,4.5,5,4
143,1,3,6,9,2,1,0,0,4,0,0,0,0,0,0,0
145,1,2,2,7,1,1,0,0,1,0,1,4,1.5,9,2,1
147,1,3,5,5,2,3,0,0,2,1,2,4,9,9,4,4
149,1,3,3,7,2,3,1,0,3,1,3,4,4.5,9,5,4
151,0,2,4,6,2,1,0,0,2,0,1,3,1.5,9,1,1
152,1,3,7,7,2,3,0,1,5,0,3,5,4.5,15,4,4
153,1,3,6,9,2,2,0,0,3,1,2,3,1.5,1.5,2,2
155,0,3,6,6,2,3,1,0,2,1,1,5,1.5,4.5,6,5
156,1,3,3,7,2,3,1,0,3,0,3,4,9,9,4,3
160,1,2,4,7,2,1,1,0,1,0,1,4,1.5,1.5,5,5
161,1,3,6,7,2,2,0,0,3,0,1,2,4.5,9,1,1
164,1,2,1,7,1,1,0,0,1,0,1,4,9,21,2,2
166,1,3,3,6,4,2,0,1,2,1,1,5,4.5,9,1,3
167,1,3,6,7,2,5,1,2,3,1,2,6,4.5,9,2,1
168,0,2,2,7,1,1,0,0,1,0,1,4,4.5,9,1,1
169,0,3,3,3,2,5,1,2,2,1,1,4,9,9,2,2
170,1,4,7,5,2,5,1,2,4,1,3,4,9,4.5,3,2
172,0,3,6,6,2,4,1,2,6,1,1,4,4.5,9,3,2
173,0,3,5,7,2,3,1,0,4,1,3,3,4.5,9,3,2
176,1,2,1,6,2,1,0,0,1,0,1,3,4.5,4.5,4,4
178,1,4,5,7,2,5,0,2,4,1,2,5,4.5,9,2,1
179,0,3,1,5,4,2,0,0,4,1,1,4,4.5,4.5,4,4
182,0,3,6,7,2,3,1,1,6,1,1,3,9,15,2,2
184,1,2,1,7,1,3,0,0,3,0,1,4,9,9,2,2
185,1,3,4,7,2,3,1,0,4,0,2,5,15,21,1,1
187,0,2,1,7,1,3,0,0,3,1,3,2,4.5,9,1,1
190,0,2,7,6,4,1,0,0,2,0,1,4,21,21,4,4
193,0,3,6,7,2,1,0,0,2,0,0,0,0,0,0,0
200,0,3,3,5,2,1,1,0,1,0,1,3,4.5,9,3,2
202,1,2,1,7,1,1,0,0,1,0,1,5,9,15,3,2
203,0,5,7,9,2,3,0,0,5,1,3,3,9,15,5,4
206,0,3,5,7,2,2,0,0,3,0,3,2,4.5,9,1,1
208,0,3,3,5,2,5,1,2,2,1,1,4,9,9,2,2
