ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,LED
213,1,4,4,6,2,5,1,2,4,1,3
219,1,3,5,7,2,5,1,0,3,1,2
221,0,3,3,5,2,1,1,0,1,0,3
222,0,4,7,9,2,5,1,2,7,1,3
223,0,3,1,6,2,1,0,0,1,0,4
226,1,3,6,9,2,3,1,0,5,1,4
227,1,3,3,7,2,3,0,2,2,1,3
229,0,3,3,5,2,2,1,0,1,0,2
231,1,3,5,7,2,5,1,0,3,1,3
233,1,3,6,7,2,3,1,0,3,0,4
234,1,3,7,7,2,2,0,0,4,1,4
235,1,3,6,9,2,3,0,2,5,1,4
236,1,4,6,7,2,4,1,2,6,1,3
237,1,3,6,7,2,1,0,0,5,0,3
240,0,2,3,7,1,1,0,0,3,0,2
242,0,3,6,7,2,3,1,0,3,0,4
245,1,3,3,6,2,4,1,1,4,1,3
246,0,3,3,5,2,2,1,0,1,0,2
248,1,4,7,6,2,6,2,2,6,1,2
249,0,3,3,7,2,4,0,1,4,1,4
250,1,2,2,7,1,4,1,0,4,1,3
253,0,3,3,7,2,3,0,1,3,1,3
254,1,3,4,6,2,4,1,1,4,1,3
255,1,2,7,7,2,1,0,0,2,1,2
257,0,4,7,9,2,5,1,2,6,1,4
259,1,2,4,7,2,5,1,1,3,1,3
260,0,3,3,5,2,2,1,0,1,0,2
262,1,2,4,7,2,1,1,0,3,0,4
263,0,3,4,9,2,5,1,0,4,1,2
270,1,3,5,6,2,4,1,1,4,1,3
271,1,3,4,5,2,4,1,1,4,1,3
272,1,4,5,6,2,6,2,2,4,1,3
273,0,3,3,7,2,2,0,0,4,0,1
275,0,3,3,5,2,2,1,0,1,0,2
277,0,4,7,7,2,3,1,0,4,1,4
278,1,3,4,6,2,4,1,1,4,1,3
279,1,3,7,7,2,5,1,2,7,0,4
281,1,3,7,7,2,2,0,0,4,1,4
283,1,3,5,7,2,5,1,0,3,1,3
285,0,4,5,6,2,6,1,2,4,1,3
286,1,5,5,6,2,5,2,2,3,1,3
287,0,2,1,7,1,1,0,0,1,0,1
288,0,3,3,7,2,4,0,1,4,1,4
289,1,3,5,7,2,3,1,0,3,1,4
290,0,3,6,7,2,3,1,0,6,1,2
291,0,3,4,5,2,4,1,1,4,1,3
292,1,3,7,7,2,4,1,2,6,0,2
293,1,4,7,6,2,4,1,1,5,1,3
294,1,2,7,7,2,1,0,0,2,1,1
296,0,3,7,9,2,2,0,0,5,1,4
297,1,2,6,7,2,1,0,0,2,1,2
299,1,3,6,7,2,4,1,1,4,1,2
302,1,5,5,6,2,2,0,2,1,1,1
314,0,3,3,5,2,1,0,0,1,0,2
316,0,2,3,6,2,1,0,0,3,0,2
317,1,3,6,6,2,4,1,1,4,1,3
